word,n_ess,n_non,pct_ess,pct_non,enrichment,log_odds
periplasmic,31,98,0.35416428653033244,0.4138688289201402,0.8557404225256879,-0.15634681825220476
lyase,28,89,0.3198903233177196,0.3758604670805355,0.8510879736899194,-0.16175489616390948
exodeoxyribonuclease,9,29,0.10282188963783845,0.12247138814983742,0.8395584568049574,-0.1749199895323219
activator,9,29,0.10282188963783845,0.12247138814983742,0.8395584568049574,-0.1749199895323219
endopeptidase,10,33,0.11424654404204272,0.13936399341188394,0.8197708837489484,-0.19882425197199627
abc,389,1273,4.444190563235463,5.376071624646311,0.8266613381528084,-0.2001563457999982
urea,7,24,0.0799725808294299,0.10135563157227924,0.7890294756083628,-0.23690211615476198
major,7,24,0.0799725808294299,0.10135563157227924,0.7890294756083628,-0.23690211615476198
cytochrome,61,209,0.6969039186564606,0.8826386249419317,0.7895687985581976,-0.238110247159538
zinc,17,59,0.19421912487147264,0.24916592761518647,0.7794770606494238,-0.2495692161525236
translocator,8,28,0.09139723523363419,0.11824823683432577,0.7729268332490086,-0.25759147366003354
molecular,10,35,0.11424654404204272,0.1478102960429072,0.7729268332490085,-0.25770836235232686
accessory,20,70,0.22849308808408544,0.2956205920858144,0.7729268332490085,-0.2581445859546001
rrna,28,99,0.3198903233177196,0.41809198023565186,0.7651194914990184,-0.268635506876695
biosynthesis,56,198,0.6397806466354392,0.8361839604713037,0.7651194914990184,-0.2696651854842278
glutamine,12,43,0.13709585285045128,0.1815955065670003,0.7549517906153106,-0.28136846365553314
lyse,10,36,0.11424654404204272,0.15203344735841884,0.751456643436536,-0.28590275387125175
aminopeptidase,10,36,0.11424654404204272,0.15203344735841884,0.751456643436536,-0.28590275387125175
glycosylase,13,48,0.14852050725465554,0.20271126314455848,0.7326702273506226,-0.31142254291969884
-methyltransferase,36,133,0.4112875585513538,0.5616791249630475,0.7322464736043238,-0.3130842880321767
4fe-4s,15,57,0.1713698160630641,0.24071962498416316,0.7119062937819816,-0.34033588702079864
branched-chain,24,92,0.27419170570090257,0.3885299210270704,0.7057158042708338,-0.349582553976278
acrr,22,85,0.251342396892494,0.35896786181848894,0.7001807783549843,-0.3573770236239211
hydrogenase,21,82,0.23991774248828973,0.34629840787195404,0.6928063688268552,-0.36794366577551596
flavin,11,43,0.125671198446247,0.1815955065670003,0.6920391413973681,-0.3684279772953811
helix,7,28,0.0799725808294299,0.11824823683432577,0.6763109790928824,-0.39108109013503434
plp-dependent,8,32,0.09139723523363419,0.1351408420963723,0.6763109790928824,-0.3911863803811322
threonine,10,40,0.11424654404204272,0.1689260526204654,0.6763109790928823,-0.39136673301512737
transmembrane,26,104,0.2970410145093111,0.43920773681320996,0.6763109790928825,-0.3924202589349264
fad-dependent,25,101,0.2856163601051068,0.42653828286667517,0.6696148307850321,-0.4023512245587808
serine,22,89,0.251342396892494,0.3758604670805355,0.6687119793277939,-0.4035191688133759
integral,16,65,0.18279447046726838,0.2745048355082563,0.6659061947991458,-0.40734298461908125
16s,11,45,0.125671198446247,0.19004180919802355,0.6612818462241518,-0.4139505103062051
channel,16,66,0.18279447046726838,0.27872798682376787,0.6558167069991587,-0.42264728777826654
peptidase,26,108,0.2970410145093111,0.45610034207525657,0.6512624243116646,-0.43032184159674536
desaturase,6,25,0.06854792642522564,0.10557878288779086,0.6492585399291672,-0.43178384733523867
c-type,15,63,0.1713698160630641,0.26605853287723297,0.6441056943741739,-0.44063382983175625
cobalt,7,30,0.0799725808294299,0.12669453946534903,0.6312235804866902,-0.46010219561334864
pseudopilin,7,30,0.0799725808294299,0.12669453946534903,0.6312235804866902,-0.46010219561334864
23s,9,39,0.10282188963783845,0.16470290130495374,0.6242870576241991,-0.4713995131823152
pts,8,35,0.09139723523363419,0.1478102960429072,0.6183414665992067,-0.4808620319762493
uracil,8,35,0.09139723523363419,0.1478102960429072,0.6183414665992067,-0.4808620319762493
substrate-binding,108,471,1.2338626756540616,1.9891042696059802,0.6203107069386947,-0.48518016101583994
tetr,23,101,0.26276705129669825,0.42653828286667517,0.6160456443222295,-0.4859315204903014
class,38,167,0.43413686735976237,0.705266269690443,0.6155644839647793,-0.4878538645905399
